date,symbol,entry_time,entry_exit,risk_by_percentage,outcome,p/l_by_pips,p/l_by_rr,p/l_by_percentage
2025-04-05,BTC,08:34:52,09:53:52,0.82%,LOSS,-220,-1.0,1.12%
2025-04-06,EURUSD,09:46:18,10:56:18,1.28%,BE,-4,0.0,1.41%
2025-04-07,NAS100,08:57:43,10:16:43,0.95%,WIN,150,2.38,1.73%
2025-04-08,US30,09:21:09,10:41:09,1.63%,LOSS,-140,-1.0,-0.87%
2025-04-09,BTC,08:43:56,10:02:56,1.17%,BE,2,0.0,0.68%
2025-04-10,EURUSD,09:05:32,10:25:32,0.69%,WIN,170,2.84,1.67%
2025-04-11,NAS100,08:38:47,09:57:47,1.52%,LOSS,-90,-1.0,1.54%
2025-04-12,US30,09:50:14,10:59:14,1.85%,BE,-1,0.0,1.76%
2025-04-13,BTC,08:27:39,09:46:39,0.93%,WIN,200,2.51,1.53%
2025-04-14,EURUSD,09:32:05,10:52:05,1.36%,LOSS,-160,-1.0,1.92%
2025-04-15,NAS100,08:44:51,10:03:51,1.01%,BE,4,0.0,1.36%
2025-04-16,US30,09:16:27,10:36:27,1.74%,WIN,130,1.92,1.75%
2025-04-17,BTC,08:59:13,10:18:13,0.87%,LOSS,-180,-1.0,-0.70%
2025-04-18,EURUSD,09:23:48,10:43:48,1.49%,BE,0,0.0,1.27%
2025-04-19,NAS100,08:35:04,09:54:04,0.76%,WIN,100,2.07,1.62%
2025-04-20,US30,09:47:39,10:57:39,1.82%,LOSS,-120,-1.0,1.16%
2025-04-21,BTC,08:51:16,10:10:16,1.13%,BE,3,0.0,1.42%
2025-04-22,EURUSD,09:08:52,10:28:52,0.94%,WIN,160,2.72,0.16%
2025-04-23,NAS100,08:40:27,09:59:27,1.68%,LOSS,-200,-1.0,1.85%
2025-04-24,US30,09:54:03,10:54:03,0.81%,BE,-2,0.0,-0.32%
2025-04-25,BTC,08:29:38,09:48:38,1.57%,WIN,140,2.19,-0.00%
2025-04-26,EURUSD,09:37:14,10:57:14,1.25%,LOSS,-150,-1.0,-0.27%
2025-04-27,NAS100,08:48:59,10:07:59,0.99%,BE,1,0.0,-0.64%
2025-04-28,US30,09:12:35,10:32:35,1.71%,WIN,180,2.45,0.66%
2025-04-29,BTC,08:56:01,10:15:01,0.83%,LOSS,-110,-1.0,-0.14%
2025-04-30,EURUSD,09:20:46,10:40:46,1.46%,BE,5,0.0,0.09%
2025-05-01,NAS100,08:33:12,09:52:12,1.09%,WIN,120,1.81,-0.29%
2025-05-02,US30,09:45:47,10:55:47,1.83%,LOSS,-170,-1.0,-0.09%
2025-05-03,BTC,08:58:23,10:17:23,0.96%,BE,-3,0.0,0.43%
2025-05-04,EURUSD,09:09:58,10:29:58,1.62%,WIN,150,2.38,1.93%
2025-05-05,NAS100,08:41:34,10:00:34,0.78%,LOSS,-130,-1.0,0.77%
2025-05-06,US30,09:54:10,10:54:10,1.35%,BE,2,0.0,-0.56%
2025-05-07,BTC,08:26:45,09:45:45,1.87%,WIN,190,2.63,0.93%
2025-05-08,EURUSD,09:38:21,10:58:21,0.91%,LOSS,-90,-1.0,-0.98%
2025-05-09,NAS100,08:50:56,10:09:56,1.54%,BE,-1,0.0,1.30%
2025-05-10,US30,09:14:32,10:34:32,1.06%,WIN,110,1.95,0.98%
2025-05-11,BTC,08:47:07,10:06:07,1.79%,LOSS,-200,-1.0,1.56%
2025-05-12,EURUSD,09:59:43,10:59:43,0.84%,BE,4,0.0,0.38%
2025-05-13,NAS100,08:32:18,09:51:18,1.48%,WIN,170,2.56,1.89%
2025-05-14,US30,09:05:54,10:25:54,1.21%,LOSS,-150,-1.0,-0.92%
2025-05-15,BTC,08:49:29,10:08:29,0.97%,BE,0,0.0,0.90%
2025-05-16,EURUSD,09:17:05,10:37:05,1.73%,WIN,130,2.12,-0.25%
2025-05-17,NAS100,08:40:50,09:59:50,0.85%,LOSS,-180,-1.0,-0.92%
2025-05-18,US30,09:53:26,10:53:26,1.59%,BE,3,0.0,0.90%
2025-05-19,BTC,08:28:01,09:47:01,1.12%,WIN,200,2.78,1.96%
2025-05-20,EURUSD,09:36:47,10:56:47,0.94%,LOSS,-120,-1.0,-0.42%
2025-05-21,NAS100,08:58:13,10:17:13,1.66%,BE,-2,0.0,1.60%
2025-05-22,US30,09:11:58,10:31:58,1.38%,WIN,140,2.19,-0.53%
2025-05-23,BTC,08:44:34,10:03:34,0.79%,LOSS,-160,-1.0,0.80%
2025-05-24,EURUSD,09:07:09,10:27:09,1.51%,BE,1,0.0,1.41%
2025-05-25,NAS100,08:50:45,10:09:45,1.84%,WIN,180,2.45,1.89%
2025-05-26,US30,09:23:21,10:43:21,0.96%,LOSS,-110,-1.0,1.05%
2025-05-27,BTC,08:55:56,10:14:56,1.29%,BE,5,0.0,0.20%
2025-05-28,EURUSD,09:18:32,10:38:32,1.72%,WIN,120,1.81,-0.15%
2025-05-29,NAS100,08:31:07,09:50:07,0.88%,LOSS,-170,-1.0,1.70%
2025-05-30,US30,09:43:43,10:53:43,1.55%,BE,-3,0.0,1.42%
2025-05-31,BTC,08:56:18,10:15:18,1.07%,WIN,150,2.38,0.04%
2025-06-01,EURUSD,09:09:54,10:29:54,1.81%,LOSS,-130,-1.0,0.79%
2025-06-02,NAS100,08:42:29,10:01:29,0.93%,BE,2,0.0,1.72%
2025-06-03,US30,09:15:05,10:35:05,1.64%,WIN,190,2.63,-0.27%
2025-06-04,BTC,08:47:50,10:06:50,1.26%,LOSS,-90,-1.0,0.12%
2025-06-05,EURUSD,09:59:26,10:59:26,0.89%,BE,-1,0.0,-0.18%
2025-06-06,NAS100,08:34:01,09:53:01,1.53%,WIN,110,1.95,-0.44%
2025-06-07,US30,09:06:47,10:26:47,1.85%,LOSS,-200,-1.0,1.11%
2025-06-08,BTC,08:49:23,10:08:23,1.18%,BE,4,0.0,-0.35%
2025-06-09,EURUSD,09:12:58,10:32:58,0.95%,WIN,170,2.56,1.57%
2025-06-10,NAS100,08:45:34,10:04:34,1.67%,LOSS,-150,-1.0,-0.12%
2025-06-11,US30,09:58:09,10:58:09,1.39%,BE,0,0.0,0.96%
2025-06-12,BTC,08:31:45,09:50:45,1.02%,WIN,130,2.12,1.32%
